,recipe_title,총합_수분,총합_에너지(kcal),총합_에너지(kj),총합_단백질,총합_지방,총합_회분,총합_탄수화물,"총합_섬유질, 식이섬유",총합_당,총합_자당,총합_포도당,총합_과당,총합_유당,총합_엿당,총합_갈락토스,총합_칼슘,총합_철,총합_마그네슘,총합_인,총합_칼륨,총합_나트륨,총합_아연,총합_구리,총합_망간,총합_셀레늄,총합_플루오린,총합_비타민c,총합_티아민,총합_리보플라빈,총합_비타민b3,총합_비타민b5,총합_비타민b6,"총합_엽산, 총계",총합_엽산,"총합_엽산, 식품","총합_엽산, dfe",총합_콜린,총합_비타민b12,총합_비타민a(rae),총합_레티놀,"총합_카로틴, 베타","총합_카로틴, 알파",총합_베타-크립토잔틴,총합_비타민a(iu),총합_라이코펜,총합_루테인+제아잔틴,총합_비타민e(알파-토코페롤),"총합_비타민d(d2+d3),...",총합_비타민d(d2+d3),총합_비타민k(필로퀴논),"총합_지방산, 총포화지방산",총합_sfa 4:0,총합_sfa 6:0,총합_sfa 8:0,총합_sfa 10:0,총합_sfa 12:0,총합_sfa 14:0,총합_sfa 16:0,총합_sfa 18:0,"총합_지방산, 총 단일불포화지방산",총합_mufa 16:1,총합_mufa 18:1,총합_mufa 20:1,총합_mufa 22:1,"총합_지방산, 총 다중불포화지방산",총합_pufa 18:2,총합_pufa 18:3,총합_pufa 18:4,총합_pufa 20:4,총합_pufa 20:5 n-3 (epa),총합_pufa 22:5 n-3 (dpa),총합_pufa 22:6 n-3 (dha),총합_콜레스테롤,총합_알코올,총합_카페인,총합_테오브로민,총합_녹말,총합_베타인,총합_베타토코페롤,총합_감마토코페롤,총합_델타토코페롤,총합_알파토코트리에놀,총합_감마토코트리에놀,총합_비타민k,총합_sfa 15:0,총합_sfa 17:0,총합_sfa 20:0,총합_sfa 22:0,총합_sfa 24:0,총합_mufa 14:1,총합_mufa 15:1,총합_mufa 17:1,"총합_pufa 20:2 n-6 c,c",총합_pufa 20:3,"총합_지방산, 총 트랜스지방",총합_트립토판,총합_트레오닌,총합_이소류신,총합_류신,총합_라이신,총합_메티오닌,총합_시스틴,총합_페닐알라닌,총합_티로신,총합_발린,총합_아르기닌,총합_히스티딘,총합_알라닌,총합_아스파르트산,총합_글루탐산,총합_글리신,총합_프폴린,총합_세린,총합_질소,총합_에너지(수중 일반 요인),총합_에너지(수중 특정 요인),총합_sfa 13:0,총합_mufa 18:1 c,"총합_pufa 18:3 n-3 c,c,c (ala)","총합_pufa 18:3 n-6 c,c,c","총합_지방산, 총 트랜스-모노",총합_tfa 18:1 t,총합_하이드록시프롤린,총합_비타민d3(콜레칼시페롤),총합_바이오틴,총합_비타민d2(에르고칼시페롤),총합_mufa 16:1 c,"총합_pufa 18:2 n-6 c,c",총합_pufa 18:2 clas,총합_pufa 18:2 i,총합_스티그마스테롤,총합_캄페스테롤,총합_베타-시토스테롤,총합_총 식이섬유(aoac 2011.25),총합_고분자량 식이섬유,총합_저분자량 식이섬유,총합_총 당,총합_몰리브덴,총합_비타민k(메나퀴논-4),총합_mufa 22:1 c,총합_pufa 20:3 n-3,총합_pufa 20:3 n-6,총합_pufa 22:4,총합_tfa 16:1 t,총합_tfa 18:2 t 더 이상..,"총합_지방산, 총 트랜스-폴리에노익",총합_pufa 18:3i,총합_감마-카로틴,총합_알파-크립토잔틴,총합_베타-글루칸,총합_글루타티온,총합_에르고스타-7-에놀,"총합_에르고스타-7, 22-디에놀","총합_에르고스타-5, 7-디에놀",총합_에르고스테롤,총합_베타-시토스타놀,총합_델타-5-아베나스테롤,총합_델타-7-스티그마스테롤,총합_에르고티오네인,"총합_tfa 18:2 t,t","총합_탄수화물, 합계","총합_섬유질, 수용성","총합_섬유질, 불용성"
170,< 디저트 > 애플키위팬케이크,490.531,1590.66,6662.99,27.662,66.977,10.362,236.478,24.314,117.232,82.023,5.513,9.162,18.72,0.143,0.128,944.0,7.172,234.74,1016.3,1475.6,910.15,6.106,0.879,5.223,31.574,12.66,74.125,0.555,1.008,8.707,3.013,0.508,81.75,0.0,81.75,81.75,119.95,1.692,56.4,46.8,80.7,0.0,11.0,301.95,0.0,450.5,10.746,3.6,0.0,71.755,11.254,0.086,0.065,0.047,0.097,0.104,0.329,7.85,1.636,45.264,0.817,43.722,0.187,0.0,8.447,6.192,0.512,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.05,2.695,0.066,0.52,0.0,0.0,0.075,0.0,0.036,0.035,0.256,0.077,0.0,0.025,0.007,0.082,0.0,0.0,0.0,0.167,0.556,0.671,1.211,1.073,0.336,0.096,0.665,0.639,0.847,0.412,0.389,0.461,1.201,2.885,0.295,1.234,0.781,0.0,0.0,0.0,0.0,0.767,0.014,0.0,0.0,0.133,0.0,0.0,0.0,0.0,0.061,0.097,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
171,< 별미 간식> 쫀득쫀득 감자치즈호떡,271.86,873.6,3648.0,30.15,3.132,3.798,231.12,6.48,0.648,0.39,0.63,0.93,0.75,0.75,0.0,54.0,3.918,119.7,430.2,1594.8,10.8,2.79,0.736,2.117,88.86,0.0,69.9,0.441,0.096,7.74,1.051,0.541,62.4,0.0,62.4,62.4,24.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.2,0.144,0.0,0.0,3.12,0.372,0.0,0.0,0.0,0.0,0.0,0.0,0.355,0.017,0.209,0.0,0.209,0.0,0.0,0.991,0.938,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.305,0.674,0.857,1.704,0.547,0.439,0.526,1.248,0.749,0.996,1.001,0.552,0.797,1.044,8.352,0.89,2.88,1.238,0.87,219.0,216.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.4,39.6,1.77,1.95,23.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,믿고먹는 쌀 떡볶이레시피^-^,507.729,677.85,2836.2,10.716,2.049,5.104,157.398,4.95,77.466,44.94,0.09,0.0,0.0,0.0,0.0,28.65,0.458,27.3,49.8,435.3,2205.15,0.446,0.093,0.308,0.63,123.84,0.0,0.028,0.058,0.66,0.089,0.044,4.2,0.0,4.2,4.2,5.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.002,0.582,0.0,0.024,0.0,0.0,0.794,0.07,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029,0.081,0.095,0.161,0.114,0.029,0.035,0.106,0.073,0.1,0.139,0.052,0.088,0.216,0.474,0.089,0.148,0.116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,복숭아 조림..,0.1,1935.0,8100.0,0.0,0.0,0.05,500.0,0.0,499.0,499.0,0.0,0.0,0.0,0.0,0.0,5.0,0.25,0.0,0.0,10.0,5.0,0.05,0.035,0.02,3.0,0.0,0.0,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,한끼식사-김치스팸볶음밥(김치볶음밥),185.6,2558.05,10711.85,59.416,141.51,8.08,259.296,2.67,31.178,0.0,0.0,0.0,0.0,0.0,0.0,50.45,2.722,38.0,390.0,1623.35,9521.1,5.29,0.105,0.026,80.8,4.8,86.0,0.594,0.871,6.424,1.4,0.687,52.0,0.0,52.0,52.0,416.595,2.33,149.0,148.0,11.0,0.0,10.0,520.0,0.0,353.0,8.41,133.0,3.4,31.47,32.587,0.0,0.0,0.003,0.091,0.097,0.657,21.785,8.406,75.359,3.277,69.995,0.23,0.003,25.392,22.852,0.927,0.0,0.149,0.005,0.0,0.038,535.8,0.0,0.0,0.0,0.0,12.645,0.05,0.374,0.0,0.0,0.0,0.0,0.0,0.01,0.186,0.058,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.153,0.604,0.686,1.08,0.904,0.392,0.292,0.668,0.513,0.767,0.755,0.298,0.7,1.26,1.64,0.423,0.501,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,까르보나라 떡볶이와 함께 라면티백~,548.075,1410.0,5906.0,38.543,6.457,9.346,302.32,11.605,103.59,0.99,1.97,1.29,26.0,0.0,0.0,649.2,0.376,65.05,504.0,1621.4,3894.0,2.275,0.09,0.149,18.475,14.2,8.9,0.146,0.952,0.581,1.928,0.305,44.0,0.0,44.0,44.0,94.6,2.35,70.0,65.0,11.0,0.0,0.0,237.0,0.0,4.0,0.07,5.0,0.0,0.9,3.482,0.12,0.09,0.065,0.135,0.145,0.459,1.469,0.634,1.848,0.085,1.263,0.0,0.0,0.747,0.163,0.024,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,3.1,0.0,0.0,0.0,0.04,0.0,0.0,0.05,0.03,0.01,0.0,0.0,0.035,0.01,0.01,0.0,0.0,0.0,0.229,0.736,0.884,1.62,1.449,0.442,0.104,0.895,0.864,1.121,0.584,0.519,0.591,1.531,4.038,0.36,1.672,1.036,0.159,21.45,19.5,0.0,1.065,0.02,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.085,0.135,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,매운 참치 볶음밥~*,0.0,28.6,119.6,0.38,0.035,0.0,6.76,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,482.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,가래떡강정,20.55,1488.8,6229.8,25.62,4.4,0.882,333.991,11.68,56.189,0.69,3.06,2.616,0.0,0.0,0.0,4.5,0.105,3.9,7.8,732.95,2776.85,0.051,0.026,0.025,0.21,4.53,1.23,0.003,0.05,0.429,0.014,0.047,2.7,0.0,2.7,2.7,3.75,0.0,7.8,0.0,94.8,0.0,0.0,158.1,3630.0,48.3,0.438,0.0,0.0,0.9,0.784,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,1.315,0.0,0.004,0.0,0.0,1.488,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.006,0.004,0.006,0.007,0.002,0.002,0.006,0.003,0.004,0.005,0.004,0.01,0.04,0.105,0.005,0.004,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,치즈소스에 찍어먹는 고구마후렌치후라이,0.0,40.3,168.0,3.8,2.7,0.0,0.4,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,간장떡볶이 만들기,70.505,348.85,1457.0,19.566,8.548,7.606,55.028,1.715,22.515,0.045,0.135,0.0,0.0,0.0,0.0,23.85,1.953,43.8,173.7,427.25,2682.5,3.546,0.062,0.465,12.445,11.2,1.5,0.038,0.162,3.68,0.463,0.258,10.8,0.0,10.8,10.8,49.435,1.32,1.5,1.5,0.0,0.0,0.0,4.5,0.0,0.0,0.06,1.0,0.0,0.6,3.01,0.0,0.0,0.0,0.0,0.006,0.214,1.666,0.968,3.42,0.272,2.936,0.022,0.0,0.416,0.286,0.041,0.0,0.024,0.002,0.008,0.0,44.0,0.0,0.0,0.0,0.0,17.66,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.082,0.006,0.0,0.0,0.058,0.0,0.068,0.0,0.0,0.286,0.09,0.482,0.554,0.967,0.941,0.283,0.149,0.521,0.396,0.606,0.813,0.38,0.712,1.159,2.106,0.764,0.696,0.547,0.159,21.45,19.5,0.0,0.0,0.022,0.006,0.286,0.286,0.188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,대구전,447.6,2610.0,10921.2,118.8,71.28,6.48,366.72,0.0,21.12,0.0,0.0,0.0,0.0,0.0,0.0,300.0,7.14,60.0,1032.0,756.0,4104.0,6.3,0.078,0.156,184.8,28.8,0.0,0.396,3.078,0.384,8.4,0.726,264.0,0.0,264.0,264.0,1764.0,6.66,894.0,888.0,66.0,0.0,60.0,3120.0,0.0,2118.0,6.18,522.0,13.2,1.8,21.54,0.0,0.0,0.018,0.018,0.018,0.21,14.1,4.968,24.48,1.86,22.32,0.18,0.018,8.46,7.14,0.21,0.0,0.894,0.03,0.0,0.228,2238.0,0.0,0.0,0.0,0.0,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.918,3.624,4.116,6.48,5.424,2.352,1.752,4.008,3.078,4.602,4.53,1.788,4.2,7.56,9.84,2.538,3.006,5.616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,꼬소한 옥수수부침개 브런치 (feat. 훈제연어),331.61,516.4,2157.2,32.928,24.032,8.638,47.84,6.48,9.968,0.0,0.0,0.0,0.0,0.0,0.0,106.0,3.644,108.85,557.6,900.4,2224.0,3.185,0.157,0.443,63.045,9.7,16.32,0.612,1.17,4.208,4.624,0.374,198.4,0.0,198.4,198.4,588.0,2.22,298.0,296.0,24.4,0.0,20.0,1042.4,0.0,787.6,2.228,174.0,4.4,1.32,6.977,0.0,0.0,0.006,0.006,0.006,0.07,5.11,1.682,8.993,0.62,8.273,0.06,0.006,4.162,3.681,0.108,0.0,0.298,0.01,0.0,0.076,746.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.361,1.518,1.682,2.995,2.137,0.945,0.646,1.696,1.321,1.978,1.824,0.81,2.108,3.106,4.806,1.151,1.703,2.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,야채전 만들기 < 간식 >,12.495,765.45,3199.35,19.215,2.394,0.494,164.115,2.835,2.384,0.0,0.0,0.0,0.0,0.0,0.0,15.75,1.228,23.1,113.4,112.35,789.6,0.735,0.151,0.716,35.595,0.0,0.0,0.126,0.042,1.312,0.46,0.046,27.3,0.0,27.3,27.3,10.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.9,0.063,0.0,0.0,0.315,0.688,0.0,0.0,0.0,0.0,0.0,0.0,0.155,0.007,0.091,0.0,0.091,0.0,0.0,0.434,0.411,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.133,0.295,0.375,0.745,0.239,0.192,0.23,0.546,0.328,0.436,0.438,0.242,0.349,0.457,3.654,0.39,1.26,0.542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,완두콩치즈 디져트 만들기,107.93,82.1,343.9,2.918,0.336,0.587,18.24,4.77,11.155,4.151,2.004,4.915,0.0,0.085,0.0,17.3,0.831,20.5,62.8,207.6,3.3,0.652,0.11,0.233,0.9,2.64,23.68,0.147,0.087,1.118,0.101,0.117,34.9,0.0,34.9,34.9,16.92,0.0,21.4,0.0,246.1,10.5,8.8,425.7,0.0,1263.2,0.209,0.0,0.0,14.16,0.058,0.0,0.0,0.0,0.0,0.0,0.001,0.051,0.006,0.023,0.0,0.023,0.0,0.0,0.134,0.11,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.18,0.0,0.475,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019,0.106,0.102,0.172,0.168,0.042,0.017,0.105,0.058,0.127,0.219,0.057,0.129,0.304,0.39,0.099,0.091,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,단짠단짠 '간장떡볶이',538.066,676.1,2818.25,37.302,32.531,8.603,65.089,10.24,45.88,29.97,9.61,0.0,0.0,0.0,0.0,39.2,4.69,124.2,695.8,1665.1,1842.8,10.704,0.684,1.239,44.63,48.2,0.0,0.116,1.099,21.56,6.747,1.598,65.2,0.0,65.2,65.2,87.92,2.64,3.0,3.0,0.0,0.0,0.0,9.0,0.0,0.0,0.33,74.0,1.6,3.24,8.052,0.0,0.0,0.0,0.0,0.011,0.428,4.632,2.652,12.651,0.574,11.719,0.075,0.0,6.818,6.626,0.11,0.0,0.047,0.003,0.016,0.001,88.0,0.0,0.0,0.0,0.0,17.44,0.0,0.0,0.0,0.0,0.0,0.0,0.071,0.164,0.013,0.0,0.0,0.115,0.0,0.136,0.0,0.0,0.572,0.167,1.337,1.361,2.367,2.19,0.639,0.314,1.275,0.957,1.594,1.973,0.88,1.916,3.09,5.984,1.929,1.496,1.44,0.0,0.0,0.0,0.0,0.0,0.044,0.012,0.572,0.572,0.376,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,오므라이스 만드는 법 소스 양념 황금비율 레시피,317.864,533.12,2232.5,43.093,33.171,7.135,12.638,2.686,6.991,1.993,0.694,0.538,0.0,0.0,0.003,187.64,4.305,45.84,587.86,717.96,1581.5,3.95,0.147,0.456,96.69,16.944,4.43,0.397,1.623,1.596,4.509,0.562,148.04,0.0,148.04,148.04,907.186,3.46,865.04,444.0,4179.4,1740.24,30.5,9921.34,0.9,1196.88,3.495,267.4,6.76,10.96,10.243,0.0,0.0,0.011,0.014,0.015,0.124,7.322,2.609,12.797,0.981,11.667,0.09,0.009,4.439,3.742,0.139,0.0,0.447,0.015,0.0,0.114,1129.6,0.0,0.0,0.0,0.715,3.338,0.005,0.131,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.519,2.103,2.29,3.648,3.131,1.299,0.984,2.229,1.71,2.532,2.609,1.07,2.421,4.317,5.865,1.524,1.739,3.019,0.0,0.0,0.0,0.0,0.013,0.003,0.0,0.0,0.0,0.0,6.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
186,단호박 요리 / 단호박 조림,199.82,387.0,1620.0,0.0,0.0,0.21,100.0,0.0,99.8,99.8,0.0,0.0,0.0,0.0,0.0,7.0,0.05,2.0,0.0,2.0,11.0,0.03,0.039,0.004,0.6,51.6,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
