,recipe_title,총합_수분,총합_에너지(kcal),총합_에너지(kj),총합_단백질,총합_지방,총합_회분,총합_탄수화물,"총합_섬유질, 식이섬유",총합_당,총합_자당,총합_포도당,총합_과당,총합_유당,총합_엿당,총합_갈락토스,총합_칼슘,총합_철,총합_마그네슘,총합_인,총합_칼륨,총합_나트륨,총합_아연,총합_구리,총합_망간,총합_셀레늄,총합_플루오린,총합_비타민c,총합_티아민,총합_리보플라빈,총합_비타민b3,총합_비타민b5,총합_비타민b6,"총합_엽산, 총계",총합_엽산,"총합_엽산, 식품","총합_엽산, dfe",총합_콜린,총합_비타민b12,총합_비타민a(rae),총합_레티놀,"총합_카로틴, 베타","총합_카로틴, 알파",총합_베타-크립토잔틴,총합_비타민a(iu),총합_라이코펜,총합_루테인+제아잔틴,총합_비타민e(알파-토코페롤),"총합_비타민d(d2+d3),...",총합_비타민d(d2+d3),총합_비타민k(필로퀴논),"총합_지방산, 총포화지방산",총합_sfa 4:0,총합_sfa 6:0,총합_sfa 8:0,총합_sfa 10:0,총합_sfa 12:0,총합_sfa 14:0,총합_sfa 16:0,총합_sfa 18:0,"총합_지방산, 총 단일불포화지방산",총합_mufa 16:1,총합_mufa 18:1,총합_mufa 20:1,총합_mufa 22:1,"총합_지방산, 총 다중불포화지방산",총합_pufa 18:2,총합_pufa 18:3,총합_pufa 18:4,총합_pufa 20:4,총합_pufa 20:5 n-3 (epa),총합_pufa 22:5 n-3 (dpa),총합_pufa 22:6 n-3 (dha),총합_콜레스테롤,총합_알코올,총합_녹말,총합_베타인,총합_베타토코페롤,총합_감마토코페롤,총합_델타토코페롤,총합_알파토코트리에놀,총합_감마토코트리에놀,총합_비타민k,총합_sfa 15:0,총합_sfa 17:0,총합_sfa 20:0,총합_sfa 22:0,총합_sfa 24:0,총합_mufa 14:1,총합_mufa 15:1,총합_mufa 17:1,"총합_pufa 20:2 n-6 c,c",총합_pufa 20:3,"총합_지방산, 총 트랜스지방",총합_트립토판,총합_트레오닌,총합_이소류신,총합_류신,총합_라이신,총합_메티오닌,총합_시스틴,총합_페닐알라닌,총합_티로신,총합_발린,총합_아르기닌,총합_히스티딘,총합_알라닌,총합_아스파르트산,총합_글루탐산,총합_글리신,총합_프폴린,총합_세린,총합_질소,총합_에너지(수중 일반 요인),총합_에너지(수중 특정 요인),총합_sfa 13:0,총합_mufa 18:1 c,"총합_pufa 18:3 n-3 c,c,c (ala)","총합_pufa 18:3 n-6 c,c,c","총합_지방산, 총 트랜스-모노",총합_tfa 18:1 t,총합_하이드록시프롤린,총합_비타민d3(콜레칼시페롤),총합_바이오틴,총합_비타민d2(에르고칼시페롤),총합_mufa 16:1 c,"총합_pufa 18:2 n-6 c,c",총합_pufa 18:2 clas,총합_pufa 18:2 i,총합_스티그마스테롤,총합_캄페스테롤,총합_베타-시토스테롤,총합_총 식이섬유(aoac 2011.25),총합_고분자량 식이섬유,총합_저분자량 식이섬유,총합_총 당,총합_몰리브덴,총합_비타민k(메나퀴논-4),총합_mufa 22:1 c,총합_pufa 20:3 n-3,총합_tfa 16:1 t,총합_tfa 18:2 t 더 이상..,"총합_지방산, 총 트랜스-폴리에노익",총합_감마-카로틴,총합_알파-크립토잔틴,총합_베타-글루칸,총합_글루타티온,총합_에르고스타-7-에놀,"총합_에르고스타-7, 22-디에놀","총합_에르고스타-5, 7-디에놀",총합_에르고스테롤,총합_베타-시토스타놀,총합_델타-5-아베나스테롤,총합_델타-7-스티그마스테롤,총합_에르고티오네인
40,삼겹살 고추장 불고기,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,오늘부터 밥도둑은 나 오징어 파김치 찌개,281.65,744.85,3129.225,69.642,36.0,9.73,47.991,16.905,20.974,0.228,0.882,1.647,0.0,0.0,0.0,196.2,8.087,125.75,300.0,1782.05,4566.6,4.055,0.772,1.079,7.925,0.1,24.81,0.303,0.66,4.923,1.955,0.729,116.4,0.0,116.4,116.4,63.15,0.0,468.0,0.0,4761.0,645.0,1065.0,9345.0,6.3,93.0,11.49,0.0,0.0,123.3,7.759,0.0,0.004,0.0,0.004,0.024,0.063,0.663,0.143,11.713,0.025,1.104,0.004,0.0,13.6,2.943,0.685,0.0,0.0,0.0,0.0,0.0,150.0,0.0,0.0,2.01,0.072,1.023,0.0,0.93,0.855,0.0,0.0,0.004,0.016,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021,0.483,0.546,0.99,0.75,0.039,0.054,0.111,0.057,0.597,0.147,0.054,0.135,0.507,0.477,0.18,0.375,0.069,0.0,0.0,0.0,0.008,0.936,0.156,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,햄 두부김치,424.84,1315.5,5497.6,62.76,25.048,3.304,221.908,4.97,15.634,1.32,2.909,2.013,0.0,0.0,0.0,77.3,2.147,78.8,471.3,1357.5,1501.53,4.344,0.303,0.419,78.13,2.03,233.7,1.558,0.735,9.631,1.306,1.46,79.7,0.0,35.7,35.7,159.82,1.12,8.6,3.2,63.7,6.3,2.1,124.8,0.0,107.5,0.601,84.8,2.08,2.74,9.192,0.0,0.0,0.0,0.016,0.016,0.293,5.195,2.744,10.016,0.672,8.979,0.176,0.0,2.0,1.745,0.072,0.0,0.08,0.0,0.0,0.0,128.55,0.0,0.0,5.92,0.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.563,2.006,2.041,3.531,3.982,1.144,0.559,1.804,1.519,2.39,2.895,1.733,2.598,4.197,7.146,2.298,1.879,1.852,0.22,46.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.08,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,콩나물 불고기,195.05,3273.4,13712.2,235.45,181.3,0.75,162.08,2.34,0.218,0.0,0.0,0.0,0.0,0.0,0.0,14.8,0.662,22.3,48.9,2311.2,23736.69,0.382,0.105,0.247,5.06,0.0,244.2,0.099,0.24,1.696,0.017,0.557,70.6,0.0,1.6,1.6,0.53,0.0,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.051,0.0,0.0,19.3,66.445,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.0,80.55,0.0,0.006,0.0,0.0,16.33,0.015,0.001,0.0,0.0,0.0,0.0,0.0,720.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.007,0.008,0.011,0.01,0.002,0.0,0.006,0.006,0.008,0.014,0.003,0.009,0.018,0.039,0.009,0.013,0.009,0.25,54.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,조랭이 떡볶음,59.62,469.35,1958.35,29.312,33.043,2.79,17.248,7.0,5.476,0.114,0.321,0.644,0.0,0.0,0.0,67.5,5.195,43.35,243.0,763.6,1114.65,6.955,0.235,0.267,24.56,22.4,0.105,0.083,0.317,7.12,0.791,0.696,13.2,0.0,13.2,13.2,92.405,2.64,225.0,3.0,2250.0,313.5,523.5,4449.0,3.15,46.5,6.045,2.0,0.0,19.14,8.464,0.0,0.002,0.0,0.002,0.023,0.456,4.858,2.709,13.18,0.586,12.163,0.077,0.0,8.18,7.676,0.181,0.0,0.047,0.003,0.016,0.001,88.0,0.0,0.0,8.905,0.036,0.511,0.0,0.465,0.428,0.0,0.071,0.166,0.021,0.008,0.0,0.115,0.0,0.136,0.0,0.0,0.572,0.104,0.76,0.88,1.544,1.594,0.498,0.218,0.78,0.6,0.995,1.283,0.631,1.228,1.924,3.028,1.35,1.136,0.778,0.0,0.0,0.0,0.004,0.468,0.122,0.014,0.572,0.572,0.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,돼지갈비 김치찌게,406.98,2784.4,11411.0,48.395,280.25,3.01,12.14,1.8,0.06,0.0,0.0,0.0,0.0,0.0,0.0,41.25,3.025,40.7,576.7,1352.25,165.88,5.369,0.38,0.23,45.63,0.0,200.5,2.058,1.388,24.522,1.28,1.144,49.0,0.0,5.0,5.0,0.03,4.2,15.0,15.0,0.0,0.0,0.0,50.0,0.0,0.0,2.16,0.0,0.0,2.04,98.63,0.0,0.0,0.0,0.2,0.3,3.5,60.835,33.17,129.485,7.53,119.895,2.18,0.0,34.715,31.345,2.445,0.0,0.7,0.0,0.0,0.0,360.0,7.245,0.0,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22,46.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,[해외자취Cook.feel通]209. 까나리 감자찌개 레시피 <까나리액젓요리 7탄>,417.62,460.2,1920.9,43.619,18.988,5.71,81.299,14.73,14.074,0.374,0.741,1.264,0.5,0.5,0.0,1111.5,19.415,156.95,450.0,2928.1,3255.1,3.785,0.989,2.39,34.76,0.0,47.005,0.382,0.297,5.485,0.337,0.744,49.2,0.0,49.2,49.2,96.375,0.0,222.0,0.0,2250.0,313.5,523.5,4695.0,3.15,46.5,5.745,0.0,0.0,24.7,2.618,0.0,0.002,0.0,0.002,0.012,0.067,1.764,0.572,3.832,0.051,3.588,0.002,0.0,9.729,8.26,1.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.405,0.036,0.511,0.0,0.465,0.428,0.2,0.0,0.002,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,1.246,1.364,2.234,1.41,0.344,0.114,1.34,1.106,1.419,2.176,0.69,1.256,3.374,5.278,1.215,1.852,1.592,0.58,146.0,144.0,0.004,0.468,0.078,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,26.4,1.18,1.3,15.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,"♪ 황사소식이 있는 날 만든, 삼겹살떡불고기",34.39,83.75,350.63,2.751,1.182,0.136,16.637,2.16,9.156,5.274,1.04,2.568,0.0,0.0,0.0,3.81,0.08,3.23,5.14,140.05,45.58,0.044,0.035,0.022,0.077,0.88,1.77,0.005,0.012,0.072,0.022,0.013,2.91,0.0,2.91,2.91,2.328,0.0,0.4,0.0,5.6,0.4,0.8,10.0,0.0,17.6,0.051,0.0,0.0,1.761,0.292,0.0,0.0,0.0,0.0,0.0,0.0,0.008,0.001,0.578,0.001,0.034,0.0,0.0,0.176,0.038,0.001,0.0,0.0,0.0,0.0,0.0,3.3,0.0,0.0,0.08,0.0,0.012,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.005,0.008,0.007,0.001,0.001,0.005,0.001,0.008,0.004,0.001,0.006,0.044,0.014,0.006,0.009,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,고추장찌개 황금레시피,758.14,1253.8,5181.4,69.31,91.2,6.82,67.41,19.3,19.57,0.0,9.52,0.0,0.0,0.0,0.0,64.95,4.692,169.6,1021.6,4395.95,1599.6,9.502,0.835,1.337,121.04,0.0,427.2,1.979,1.936,28.66,7.396,3.009,203.0,0.0,62.0,62.0,187.965,1.4,4.0,4.0,0.0,0.0,0.0,14.0,0.0,0.0,7.27,178.0,4.2,29.13,18.839,0.0,0.0,0.0,0.02,0.02,0.36,12.84,5.018,51.389,1.437,49.18,0.39,0.0,13.416,12.727,0.467,0.0,0.1,0.0,0.0,0.0,160.0,1.61,0.0,7.245,0.05,0.374,0.0,0.0,0.0,0.0,0.0,0.01,0.186,0.058,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.72,2.996,2.964,5.116,5.436,1.556,0.776,2.624,2.184,3.52,4.064,2.364,3.868,6.224,11.16,3.4,2.72,2.84,0.42,93.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,1.281,1.6,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,돼지고기 카레볶음,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,고추잡채,0.0,47.0,198.0,6.01,2.09,0.0,1.53,0.1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.433,0.0,0.0,0.0,0.0,1.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,"집밥백선생 순두부찌개 만들기, 바지락순두부찌개 만들기",0.0,316.15,1320.35,32.25,13.05,0.0,23.52,7.2,1.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1592.0,1372.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.754,0.0,0.0,0.0,0.0,5.673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,얼큰하고 칼칼한 해물순두부찌개,659.1,354.953,1476.292,20.699,7.356,10.061,70.012,20.171,29.435,0.031,16.757,0.007,0.0,0.0,0.004,37.187,3.596,167.329,838.539,2328.84,1878.525,7.507,1.047,2.3,41.667,1.026,1.5,0.118,1.574,27.854,10.631,2.104,95.71,0.0,95.71,95.71,5.829,0.0,0.81,0.0,9.298,0.36,0.75,16.406,0.6,13.617,0.031,126.0,2.8,4.919,0.568,0.0,0.0,0.003,0.001,0.003,0.001,0.033,0.012,1.408,0.002,0.043,0.0,0.0,1.687,0.091,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.207,0.0,0.197,0.0,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.108,1.027,0.883,1.514,1.06,0.263,0.194,0.896,0.634,1.131,1.24,0.449,1.276,2.365,5.276,1.117,0.89,1.144,0.159,21.45,19.5,0.0,0.019,0.005,0.0,0.0,0.0,0.0,0.0,0.0,2.8,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,생청국장으로 구수한 청국장찌개 끓여요,832.48,624.0,2613.0,25.93,53.52,6.34,8.12,1.3,1.83,0.0,0.0,0.0,0.0,0.0,0.0,35.6,2.0,31.2,214.0,636.0,2377.0,4.292,0.235,0.074,26.2,185.76,0.0,0.52,0.34,6.46,0.88,0.34,8.0,0.0,8.0,8.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,2.2,0.0,18.467,0.0,0.0,0.0,0.086,0.07,0.71,11.4,6.16,24.645,1.96,22.6,0.0,0.0,5.807,5.0,0.658,0.0,0.0,0.0,0.0,0.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.214,0.93,0.97,1.62,1.806,0.728,0.21,0.81,0.772,0.928,1.53,0.79,1.548,2.28,3.98,1.714,1.346,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,표고버섯잡채,107.0,59.4,0.0,4.56,1.913,0.28,12.4,2.52,1.86,0.0,0.0,0.0,0.0,0.0,0.0,24.1,0.937,23.4,64.7,226.0,1121.49,0.898,0.184,0.1,4.6,0.0,99.5,0.068,0.159,0.908,0.0,0.307,27.7,0.0,5.7,5.7,21.66,0.024,1.2,0.0,15.6,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,8.79,0.306,0.0,0.0,0.0,0.0,0.0,0.004,0.225,0.06,0.336,0.0,0.312,0.008,0.0,0.864,0.744,0.122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,23.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,캠핑부대찌개,447.902,2894.95,12109.5,101.035,55.242,17.641,514.412,41.0,28.86,12.795,6.645,9.29,0.0,0.0,0.19,465.35,35.348,315.5,1311.5,3999.95,1684.6,14.108,1.426,2.63,182.885,2.2,17.5,3.811,2.29,27.002,5.424,4.059,115.5,0.0,115.5,115.5,815.975,2.1,2466.0,6.0,26202.0,595.0,6190.0,49325.0,0.0,18908.0,30.66,159.0,3.9,81.1,18.017,0.0,0.0,0.0,0.03,0.098,0.72,11.242,5.492,20.358,1.329,18.486,0.353,0.0,11.56,10.689,0.593,0.0,0.15,0.0,0.0,0.0,240.0,0.0,0.0,25.55,0.35,3.54,0.25,4.03,0.09,0.0,0.0,0.0,0.047,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.146,4.315,4.492,7.709,8.268,2.374,1.304,4.068,3.302,5.325,6.429,3.556,5.591,10.837,15.976,5.169,5.972,4.179,0.0,0.0,0.0,0.0,1.6,0.453,0.0,0.0,0.0,0.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,"건채소로 끓인 구수한 된장찌개, 된장찌개",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,돼지고기 낙지 숙주잡채,102.07,1752.2,6964.2,330.075,33.27,2.66,35.845,7.65,3.868,0.244,0.531,0.954,0.25,0.25,0.0,81.15,4.086,66.25,173.55,5969.0,13151.0,2.167,0.469,0.415,8.71,0.0,23.405,0.133,0.246,3.728,0.133,0.548,12.75,0.0,12.75,12.75,42.465,0.036,223.8,0.0,2273.4,313.5,523.5,4440.0,3.15,46.5,5.72,0.0,0.0,29.885,4.444,0.0,0.002,0.0,0.002,0.012,0.035,0.58,0.149,5.434,0.012,0.936,0.013,0.0,10786.498,2.236,0.262,0.0,0.0,0.0,0.0,0.0,1584.0,0.0,0.0,0.405,0.036,0.511,0.0,0.465,0.428,0.1,0.0,0.002,0.008,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.058,0.094,0.054,0.02,0.027,0.056,0.028,0.081,0.074,0.027,0.068,0.254,0.238,0.09,0.188,0.034,0.29,73.0,72.0,0.004,0.468,0.078,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.8,13.2,0.59,0.65,7.8,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
59,돼지고기야채 잡채,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
